team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Ivory Coast National Team,Ivory Coast,2025,Ivory Coast,5,3,2,0,3,2,1,1,1,0,1,0,1,2,2.33,1.5,2,0,0,6,10,6,4,16,6,10,5,5,1,5,4,0,45,54,36,75,273,36,2,2,0,3,1,2,0,0,0,3,3,0,36,21,15,6,5,1,60,54,70,83,49,34,20,11,9,63,38,25,89,55,34,4,2,2,4,0,4,0,2,-2,1,1,0,2,2,0,2,0,2,1,1.67,0,3.2,2,5,2,1.67,2.5,1.2,0.33,2.5,1.6,0.67,3,0.8,0.67,1,0.8,0,2,5,4,3,2,2,0,3,2,1,0,0,0,2,2,2,2,2,0,0,1,2,3,3,5,0,1,2,3,3,3,0,0,0,0,0,2,100,80,60,40,40,0,100,67,33,0,0,0,100,100,100,100,100,0,0,20,40,60,60,100,0,33,67,100,100,100,0,0,0,0,0,100,3,3,2,1,1,0,2,2,2,60,60,40,33,33,0,100,100,100,60,67,50,28,40,67,0,60,33,100,0,0,0,60,100,0,3,3,0,60,100,0,2,2,0,40,67,0,2,0,2,40,0,100,20,33,0,40,67,0,40,0,100,7.20,7.00,7.50,1.2,1.67,0.50,100,80,80,80,20,20,0,0,1.72,1.64,1.85,0.86,0.87,0.84,80,0,1,0,2,2,1,0,1,3,1,1,1,1,0,2,0,0,0,20,33,0,20,0,50,0
Nigeria National Team,Nigeria,2025,Nigeria,7,4,3,0,5,3,2,2,1,1,0,0,0,2.43,2.5,2.33,1,0,0,2,14,4,10,18,12,6,9,5,3,1,6,4,45,40,54,158,120,273,4,2,2,3,2,1,2,1,1,5,3,2,27,16,11,17,9,8,58,58,59,90,60,30,41,26,15,49,34,15,136,92,44,5,4,1,0,0,0,5,4,1,4,3,1,3,1,2,0,0,0,2.14,2.5,1.67,2.57,3,2,2,2.25,1.67,0.57,0.75,0.33,0.71,1,0.33,0.71,1,0.33,0,0,0,5,5,4,3,1,0,3,3,3,2,1,0,2,2,1,1,0,0,2,2,3,4,6,7,1,1,1,2,3,4,1,1,2,2,3,3,71,71,57,43,14,0,75,75,75,50,25,0,67,67,33,33,0,0,29,29,43,57,86,100,25,25,25,50,75,100,33,33,67,67,100,100,4,1,0,3,1,0,1,0,0,57,14,0,75,25,0,33,0,0,71,75,67,-10,57,50,67,43,50,33,29,25,33,71,75,67,7,4,3,100,100,100,3,1,2,43,25,67,0,0,0,0,0,0,57,75,33,43,25,67,0,0,0,3.86,4.00,3.67,2.43,2.25,2.67,28,28,28,28,14,14,0,0,1.57,1.73,1.36,0.84,1.02,0.60,100,0,1,2,1,4,2,3,1,0,0,0,0,0,1,0,0,2,1,29,25,33,0,0,0,0
Cameroon National Team,Cameroon,2025,Cameroon,5,2,3,0,3,1,2,1,0,1,1,1,0,2,1.5,2.33,1,0,0,7,6,5,1,11,3,8,1,5,2,3,-1,2,75,180,54,90,90,90,1,1,0,3,0,3,1,1,0,2,1,1,27,13,14,11,4,7,46,51,43,59,18,41,15,3,12,44,15,29,83,35,48,3,1,2,2,1,1,1,0,1,2,1,1,2,0,2,1,1,0,1.6,1.5,1.67,2.2,1.5,2.67,1.2,0.5,1.67,1,1,1,1,1,1,0.6,0.5,0.67,0.4,0.5,0.33,5,4,2,0,0,0,2,1,0,0,0,0,3,3,2,0,0,0,0,1,3,5,5,5,0,1,2,2,2,2,0,0,1,3,3,3,100,80,40,0,0,0,100,50,0,0,0,0,100,100,67,0,0,0,0,20,60,100,100,100,0,50,100,100,100,100,0,0,33,100,100,100,4,1,0,2,0,0,2,1,0,80,20,0,100,0,0,67,33,0,60,50,67,0,20,50,0,60,0,100,20,50,0,40,50,33,3,1,2,60,50,67,2,1,1,40,50,33,1,0,1,20,0,33,40,50,33,40,0,67,20,50,0,5.40,6.50,4.67,2.2,2,2.33,100,100,100,80,40,20,20,20,1.24,1.01,1.39,1.23,1.12,1.32,60,1,0,1,1,1,2,0,0,0,0,0,2,0,0,1,0,1,1,20,0,33,20,50,0,0
Algeria National Team,Algeria,2025,Algeria,5,4,1,0,4,3,1,0,0,0,1,1,0,2.4,2.25,3,1,0,0,5,8,3,5,11,7,4,5,3,2,1,3,2,56,72,30,150,180,90,3,3,0,1,0,1,1,1,0,4,3,1,24,19,5,11,10,1,52,52,55,55,39,16,24,18,6,31,21,10,95,80,15,5,2,3,0,0,0,5,2,3,3,2,1,2,2,0,0,0,0,2.2,2,3,2.2,1.75,4,1.6,1.25,3,0.6,0.5,1,1,0.5,3,1,0.5,3,0,0,0,5,3,2,1,0,0,4,2,1,0,0,0,1,1,1,1,0,0,0,2,3,4,5,5,0,2,3,4,4,4,0,0,0,0,1,1,100,60,40,20,0,0,100,50,25,0,0,0,100,100,100,100,0,0,0,40,60,80,100,100,0,50,75,100,100,100,0,0,0,0,100,100,3,1,1,2,0,0,1,1,1,60,20,20,50,0,0,100,100,100,80,75,100,-3,60,75,0,20,0,100,20,25,0,80,75,100,5,4,1,100,100,100,2,2,0,40,50,0,0,0,0,0,0,0,60,50,100,40,50,0,0,0,0,4.80,4.75,5.00,2.2,2.5,1.00,80,80,60,40,20,20,0,0,1.31,1.21,1.74,1.08,1.08,1.11,80,1,1,2,1,0,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,20,25,0,0
Senegal National Team,Senegal,2025,Senegal,7,5,2,0,6,4,2,1,1,0,0,0,0,2.71,2.6,3,1,0,0,1,13,2,11,15,11,4,9,4,2,0,7,4,48,50,45,310,225,0,5,3,2,2,2,0,0,0,0,5,3,2,44,33,11,19,11,8,61,62,58,108,79,29,54,40,14,54,39,15,124,91,33,5,3,2,1,1,0,4,2,2,4,2,2,3,3,0,0,0,0,2.14,1.8,3,2.14,2.2,2,1.86,1.8,2,0.29,0.4,0,0.86,0.8,1,0.71,0.6,1,0.14,0.2,0,7,4,3,1,0,0,5,3,2,1,0,0,2,1,1,0,0,0,0,3,4,6,7,7,0,2,3,4,5,5,0,1,1,2,2,2,100,57,43,14,0,0,100,60,40,20,0,0,100,50,50,0,0,0,0,43,57,86,100,100,0,40,60,80,100,100,0,50,50,100,100,100,4,1,1,2,1,1,2,0,0,57,14,14,40,20,20,100,0,0,86,80,100,-21,71,60,100,29,40,0,0,0,0,71,60,100,6,4,2,86,80,100,3,3,0,43,60,0,1,1,0,14,20,0,57,40,100,43,60,0,0,0,0,6.29,6.60,5.50,2.71,2.2,4.00,100,71,56,43,43,28,14,14,1.93,1.99,1.77,0.89,0.91,0.83,29,0,0,2,2,1,1,2,2,2,1,0,0,0,0,0,1,0,0,14,20,0,0,0,0,14
South Africa National Team,South Africa,2025,South Africa,4,2,2,0,2,1,1,0,0,0,2,1,1,1.5,1.5,1.5,2,0,0,10,6,6,0,12,6,6,3,3,3,3,0,0,60,60,60,60,60,60,0,0,0,3,2,1,1,0,1,2,1,1,17,7,10,11,7,4,64,62,65,62,28,34,23,8,15,39,20,19,51,31,20,2,1,1,4,2,2,-2,-1,-1,0,0,0,2,1,1,2,1,1,0.5,0.5,0.5,3,3,3,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0.5,0.5,0.5,1,1,1,4,3,3,1,1,0,2,2,2,0,0,0,2,1,1,1,1,0,0,1,1,3,3,4,0,0,0,2,2,2,0,1,1,1,1,2,100,75,75,25,25,0,100,100,100,0,0,0,100,50,50,50,50,0,0,25,25,75,75,100,0,0,0,100,100,100,0,50,50,50,50,100,4,2,0,2,1,0,2,1,0,100,50,0,100,50,0,100,50,0,50,50,50,0,0,0,0,75,100,50,25,0,50,50,50,50,0,0,0,0,0,0,2,1,1,50,50,50,2,1,1,50,50,50,0,0,0,50,50,50,50,50,50,4.25,3.50,5.00,2.75,3.5,2.00,75,75,75,50,25,0,0,0,1.72,1.47,1.96,1.04,1.14,0.94,75,1,0,1,0,1,0,0,1,2,0,1,0,2,2,0,0,1,0,0,0,0,50,50,50,0
Uganda National Team,Uganda,2025,Uganda,3,2,1,0,0,0,0,1,1,0,2,1,1,0.33,0.5,0,4,0,0,21,3,7,-4,10,6,4,2,1,4,3,-2,-2,90,90,90,39,45,30,0,0,0,3,2,1,0,0,0,0,0,0,11,9,2,8,6,2,45,42,51,31,23,8,8,7,1,23,16,7,37,22,15,0,0,0,3,1,2,-3,-1,-2,0,0,0,1,1,0,2,1,1,0.33,0.5,0,3.33,3,4,1,1,1,2.33,2,3,1,0.5,2,0,0,0,1,0.5,2,3,3,2,2,0,0,2,2,1,1,0,0,1,1,1,1,0,0,0,0,1,1,3,3,0,0,1,1,2,2,0,0,0,0,1,1,100,100,67,67,0,0,100,100,50,50,0,0,100,100,100,100,0,0,0,0,33,33,100,100,0,0,50,50,100,100,0,0,0,0,100,100,2,1,0,1,0,0,1,1,0,67,33,0,50,0,0,100,100,0,0,0,0,7,0,0,0,100,100,100,0,0,0,0,0,0,1,1,0,33,50,0,3,2,1,100,100,100,0,0,0,0,0,0,0,0,0,33,50,0,67,50,100,3.67,4.50,2.00,2.67,3,2.00,67,67,67,67,0,0,0,0,1.05,1.20,0.76,1.45,1.32,1.72,100,0,0,0,0,0,0,0,2,1,1,0,1,1,0,1,3,0,0,33,50,0,67,50,100,0
Angola National Team,Angola,2025,Angola,3,2,1,0,0,0,0,2,2,0,1,0,1,0.67,1,0,3,0,0,16,2,3,-1,5,2,3,1,1,1,2,0,-1,134,180,90,90,180,45,1,1,0,2,1,1,1,1,0,1,1,0,18,9,9,6,4,2,50,54,43,41,31,10,14,10,4,27,21,6,55,32,23,2,1,1,2,1,1,0,0,0,0,0,0,3,2,1,0,0,0,1,1,1,1.67,1,3,0.67,0.5,1,1,0.5,2,1.33,1,2,0.67,0.5,1,0.67,0.5,1,2,2,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,2,3,3,3,1,1,2,2,2,2,0,0,0,1,1,1,67,67,33,0,0,0,50,50,0,0,0,0,100,100,100,0,0,0,33,33,67,100,100,100,50,50,100,100,100,100,0,0,0,100,100,100,2,2,0,1,1,0,1,1,0,67,67,0,50,50,0,100,100,0,0,0,0,13,33,50,0,67,50,100,33,50,0,33,50,0,1,1,0,33,50,0,1,1,0,33,50,0,2,1,1,67,50,100,0,0,0,100,100,100,0,0,0,6.00,4.50,9.00,2,2,2.00,67,67,67,67,33,0,0,0,1.52,1.69,1.19,1.15,1.13,1.18,33,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,67,100,0,33,0,100,0
Botswana National Team,Botswana,2025,Botswana,3,1,2,0,0,0,0,0,0,0,3,1,2,0,0,0,4,0,0,23,0,7,-7,7,3,4,0,0,3,4,-3,-4,0,0,0,39,30,45,0,0,0,0,0,0,3,1,2,0,0,0,3,0,3,4,0,4,42,45,40,15,6,9,2,1,1,13,5,8,33,6,27,0,0,0,4,2,2,-4,-2,-2,0,0,0,0,0,0,3,1,2,0,0,0,2.33,3,2,0,0,0,2.33,3,2,1.33,2,1,0,0,0,1.33,2,1,3,2,2,0,0,0,1,1,1,0,0,0,2,1,1,0,0,0,0,1,1,3,3,3,0,0,0,1,1,1,0,1,1,2,2,2,100,67,67,0,0,0,100,100,100,0,0,0,100,50,50,0,0,0,0,33,33,100,100,100,0,0,0,100,100,100,0,50,50,100,100,100,3,1,0,1,1,0,2,0,0,100,33,0,100,100,0,100,0,0,0,0,0,-15,0,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,3,1,2,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,1.00,0.00,1.50,1.33,0,2.00,33,33,33,0,0,0,0,0,0.53,0.56,0.52,2.50,2.90,2.30,33,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,0,1,0,0,0,100,100,100,0
Burkina Faso National Team,Burkina,2025,Burkina Faso,4,1,3,0,2,1,1,0,0,0,2,0,2,1.5,3,1,2,0,0,9,4,5,-1,9,3,6,2,2,1,4,1,-2,90,45,134,72,90,68,1,0,1,1,1,0,2,0,2,1,0,1,23,9,14,7,1,6,55,67,51,48,16,32,12,5,7,36,11,25,64,16,48,1,0,1,3,0,3,-2,0,-2,1,0,1,1,1,0,2,0,2,1,1,1,2.25,3,2,1,2,0.67,1.25,1,1.33,1,0,1.33,0.25,0,0.33,0.75,0,1,4,3,2,0,0,0,1,1,1,0,0,0,3,2,1,0,0,0,0,1,2,4,4,4,0,0,0,1,1,1,0,1,2,3,3,3,100,75,50,0,0,0,100,100,100,0,0,0,100,67,33,0,0,0,0,25,50,100,100,100,0,0,0,100,100,100,0,33,67,100,100,100,3,1,0,0,0,0,3,1,0,75,25,0,0,0,0,100,33,0,50,100,33,60,25,0,33,25,100,0,50,0,67,25,0,33,2,1,1,50,100,33,3,1,2,75,100,67,0,0,0,0,0,0,25,0,33,25,100,0,50,0,67,5.75,9.00,4.67,1.75,1,2.00,100,75,50,50,25,25,0,0,1.30,1.77,1.14,1.14,0.57,1.33,0,0,1,0,0,0,0,0,0,3,0,1,1,1,0,0,0,0,2,0,0,0,50,0,67,0
