team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Finland National Team,Finland,2023,Finland,2,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,157,0,3,-3,3,1,2,0,0,1,2,-1,-2,0,0,0,60,90,45,0,0,0,0,0,0,2,1,1,0,0,0,8,4,4,2,1,1,54,62,46,16,11,5,8,4,4,8,7,1,22,8,14,0,0,0,1,0,1,-1,0,-1,0,0,0,1,1,0,1,0,1,0.5,1,0,1.5,1,2,0,0,0,1.5,1,2,0.5,0,1,0,0,0,0.5,0,1,2,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,2,2,2,2,0,1,1,1,1,1,0,0,1,1,1,1,100,50,0,0,0,0,100,0,0,0,0,0,100,100,0,0,0,0,0,50,100,100,100,100,0,100,100,100,100,100,0,0,100,100,100,100,1,0,0,0,0,0,1,0,0,50,0,0,0,0,0,100,0,0,0,0,0,17,0,0,0,0,0,0,100,100,100,0,0,0,1,1,0,50,100,0,2,1,1,100,100,100,0,0,0,0,0,0,0,0,0,50,100,0,50,0,100,4.00,4.00,4.00,1,1,1.00,100,100,100,50,50,50,0,0,1.20,1.39,1.01,1.45,0.96,1.93,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,100,100,100,0
Iceland National Team,Iceland,2023,Iceland,2,1,1,0,0,0,0,1,1,0,1,0,1,0.5,1,0,0,0,0,138,2,3,-1,5,2,3,1,1,1,2,0,-1,90,90,90,60,90,45,0,0,0,2,1,1,0,0,0,1,0,1,13,9,4,4,0,4,56,64,47,20,9,11,13,6,7,7,3,4,15,0,15,1,0,1,1,1,0,0,-1,1,1,0,1,0,0,0,1,1,0,1.5,0,3,2.5,2,3,1,1,1,1.5,1,2,1,1,1,0.5,0,1,0.5,1,0,2,2,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,2,2,2,0,0,1,1,1,1,0,0,0,1,1,1,100,100,50,0,0,0,100,100,0,0,0,0,100,100,100,0,0,0,0,0,50,100,100,100,0,0,100,100,100,100,0,0,0,100,100,100,2,0,0,1,0,0,1,0,0,100,0,0,100,0,0,100,0,0,0,0,0,17,0,0,0,100,100,100,0,0,0,50,0,100,1,0,1,50,0,100,1,1,0,50,100,0,0,0,0,0,0,0,50,0,100,0,0,0,50,100,0,6.50,9.00,4.00,2,0,4.00,100,50,50,50,50,0,0,0,1.48,1.27,1.69,1.27,1.22,1.30,50,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,50,100,0,50,0,100,0
Sweden National Team,Sweden,2023,Sweden,4,4,0,0,4,4,0,0,0,0,0,0,0,3,3,0,0,0,0,10,11,3,8,14,14,0,11,0,3,0,8,0,33,33,0,120,120,0,1,1,0,3,3,0,0,0,0,2,2,0,19,19,0,1,1,0,57,57,0,49,49,0,25,25,0,24,24,0,45,45,0,6,6,0,3,3,0,3,3,0,3,3,0,0,0,0,1,1,0,2.25,2.25,0,3.5,3.5,0,2.75,2.75,0,0.75,0.75,0,2.25,2.25,0,1.5,1.5,0,0.75,0.75,0,4,4,3,2,1,0,4,4,3,2,1,0,0,0,0,0,0,0,0,0,1,2,3,4,0,0,1,2,3,4,0,0,0,0,0,0,100,100,75,50,25,0,100,100,75,50,25,0,0,0,0,0,0,0,0,0,25,50,75,100,0,0,25,50,75,100,0,0,0,0,0,0,4,2,2,4,2,2,0,0,0,100,50,50,100,50,50,0,0,0,100,100,0,0,25,25,0,75,75,0,0,0,0,50,50,0,1,1,0,25,25,0,1,1,0,25,25,0,2,2,0,50,50,0,75,75,0,0,0,0,25,25,0,4.75,4.75,0.00,0.25,0.25,0.00,75,50,50,25,25,0,0,0,1.37,1.62,0.00,0.79,1.04,0.00,125,1,1,0,2,2,0,0,1,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Latvia National Team,Latvia,2023,Latvia,2,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,142,2,5,-3,7,0,7,0,2,0,5,0,-3,90,0,90,36,0,36,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,4,0,4,41,0,41,14,0,14,8,0,8,6,0,6,13,0,13,2,0,2,3,0,3,-1,0,-1,0,0,0,1,0,1,1,0,1,0.5,0,0.5,3.5,0,3.5,1,0,1,2.5,0,2.5,2.5,0,2.5,1,0,1,1.5,0,1.5,2,2,1,1,1,0,0,0,0,0,0,0,2,2,1,1,1,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,1,1,1,2,100,100,50,50,50,0,0,0,0,0,0,0,100,100,50,50,50,0,0,0,50,50,50,100,0,0,0,0,0,0,0,0,50,50,50,100,2,1,1,0,0,0,2,1,1,100,50,50,0,0,0,100,50,50,0,0,0,0,0,0,0,50,0,50,50,0,50,0,0,0,0,0,0,0,0,0,1,0,1,50,0,50,1,0,1,50,0,50,0,0,0,50,0,50,50,0,50,1.00,0.00,1.00,2,0,2.00,100,100,100,100,100,0,0,0,0.57,0.00,1.07,1.67,0.00,2.17,50,0,0,0,1,1,0,0,0,0,2,1,0,0,1,0,1,0,0,0,0,0,100,0,100,0
Republic of Ireland National Team,Republic of Ireland,2023,Republic of Ireland,2,2,0,0,1,1,0,1,1,0,0,0,0,2,2,0,0,0,0,76,4,3,1,7,7,0,4,0,3,0,1,0,45,45,0,60,60,0,0,0,0,2,2,0,0,0,0,2,2,0,19,19,0,0,0,0,60,60,0,26,26,0,12,12,0,14,14,0,12,12,0,3,3,0,2,2,0,1,1,0,1,1,0,1,1,0,0,0,0,2,2,0,3.5,3.5,0,2,2,0,1.5,1.5,0,2.5,2.5,0,1.5,1.5,0,1,1,0,2,2,1,1,1,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,1,1,1,2,0,0,0,0,0,0,100,100,50,50,50,0,100,100,50,50,50,0,0,0,0,0,0,0,0,0,50,50,50,100,0,0,50,50,50,100,0,0,0,0,0,0,2,1,1,2,1,1,0,0,0,100,50,50,100,50,50,0,0,0,50,50,0,0,0,0,0,100,100,0,0,0,0,100,100,0,1,1,0,50,50,0,0,0,0,0,0,0,1,1,0,50,50,0,50,50,0,50,50,0,0,0,0,9.50,9.50,0.00,0,0,0.00,100,100,100,100,100,50,50,50,1.20,1.70,0.00,0.77,1.27,0.00,50,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,50,50,0,0,0,0,50
Armenia National Team,Armenia,2023,Armenia,2,1,1,0,0,0,0,1,1,0,1,0,1,0.5,1,0,0,0,0,132,3,5,-2,8,4,4,2,1,2,3,0,-2,60,45,90,36,45,30,0,0,0,2,1,1,0,0,0,0,0,0,12,6,6,2,1,1,48,60,35,23,15,8,11,6,5,12,9,3,27,7,20,0,0,0,2,1,1,-2,-1,-1,0,0,0,0,0,0,2,1,1,0,0,0,4,4,4,1.5,2,1,2.5,2,3,1,1,1,0,0,0,1,1,1,2,2,2,2,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,1,1,100,100,100,100,0,0,100,100,100,100,0,0,100,100,100,100,0,0,0,0,0,0,100,100,0,0,0,0,100,100,0,0,0,0,100,100,2,0,0,1,0,0,1,0,0,100,0,0,100,0,0,100,0,0,0,0,0,27,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,6.00,6.00,6.00,1,1,1.00,100,100,50,50,50,0,0,0,1.59,1.87,1.30,1.31,1.12,1.49,150,0,0,0,0,0,2,0,0,1,0,0,0,0,2,1,0,0,2,50,100,0,50,0,100,0
Hungary National Team,Hungary,2023,Hungary,2,2,0,0,1,1,0,1,1,0,0,0,0,2,2,0,0,0,0,79,2,1,1,3,3,0,2,0,1,0,1,0,90,90,0,180,180,0,1,1,0,1,1,0,0,0,0,2,2,0,10,10,0,5,5,0,54,54,0,27,27,0,13,13,0,14,14,0,24,24,0,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,2,2,0,1.5,1.5,0,1,1,0,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0,0,0,0,2,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,0,1,2,2,2,2,0,0,0,0,0,0,100,50,0,0,0,0,100,50,0,0,0,0,0,0,0,0,0,0,0,50,100,100,100,100,0,50,100,100,100,100,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,50,0,0,50,0,0,0,0,0,50,50,0,0,50,50,0,50,50,0,0,0,0,100,100,0,2,2,0,100,100,0,1,1,0,50,50,0,0,0,0,0,0,0,50,50,0,50,50,0,0,0,0,5.00,5.00,0.00,2.5,2.5,0.00,50,50,50,50,50,50,50,0,0.98,1.48,0.00,0.66,1.16,0.00,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,50,50,0,0,0,0,0
Cyprus National Team,Cyprus,2023,Cyprus,2,1,1,0,1,1,0,1,0,1,0,0,0,2,3,1,0,0,0,80,3,2,1,5,1,4,1,2,0,2,1,0,60,90,45,90,0,45,1,1,0,1,0,1,0,0,0,2,1,1,5,3,2,7,1,6,42,44,40,14,6,8,9,4,5,5,2,3,25,10,15,2,1,1,0,0,0,2,1,1,2,1,1,0,0,0,0,0,0,3,3,3,2.5,1,4,1.5,1,2,1,0,2,1,1,1,1,1,1,0,0,0,2,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,2,2,0,1,1,1,1,1,0,0,0,0,1,1,100,50,50,50,0,0,100,0,0,0,0,0,100,100,100,100,0,0,0,50,50,50,100,100,0,100,100,100,100,100,0,0,0,0,100,100,2,0,0,1,0,0,1,0,0,100,0,0,100,0,0,100,0,0,50,100,0,34,50,100,0,50,0,100,0,0,0,100,100,100,2,1,1,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,0,0,0,2.50,3.00,2.00,3.5,1,6.00,100,100,0,0,0,0,0,0,1.10,1.07,1.12,1.54,1.21,1.87,100,0,0,1,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,50,0,100,0,0,0,0
Estonia National Team,Estonia,2023,Estonia,4,1,3,0,1,0,1,2,1,1,1,0,1,1.25,1,1.33,0,0,0,61,3,3,0,6,2,4,1,2,1,2,0,0,120,90,134,120,90,134,1,0,1,2,1,1,1,0,1,3,1,2,19,5,14,7,1,6,43,53,39,37,15,22,19,5,14,18,10,8,43,12,31,1,0,1,1,0,1,0,0,0,1,0,1,2,1,1,1,0,1,1.25,1,1.33,1.5,2,1.33,0.75,1,0.67,0.75,1,0.67,0.5,0,0.67,0.25,0,0.33,0.25,0,0.33,4,2,0,0,0,0,1,1,0,0,0,0,3,1,0,0,0,0,0,2,4,4,4,4,0,0,1,1,1,1,0,2,3,3,3,3,100,50,0,0,0,0,100,100,0,0,0,0,100,33,0,0,0,0,0,50,100,100,100,100,0,0,100,100,100,100,0,67,100,100,100,100,2,0,0,0,0,0,2,0,0,50,0,0,0,0,0,67,0,0,25,0,33,0,25,0,33,50,100,33,25,0,33,75,100,67,3,1,2,75,100,67,3,1,2,75,100,67,0,0,0,0,0,0,25,0,33,50,100,33,25,0,33,4.75,5.00,4.67,1.75,1,2.00,100,100,75,75,75,50,25,0,1.27,1.87,1.07,1.47,1.35,1.51,25,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,50,100,33,25,0,33,0
Uganda National Team,Uganda,2023,Uganda,4,1,3,0,0,0,0,1,1,0,3,0,3,0.25,1,0,0,0,0,136,2,7,-5,9,4,5,2,0,2,5,0,-5,180,45,0,51,45,54,0,0,0,1,1,0,3,0,3,0,0,0,9,0,9,0,0,0,46,0,46,21,0,21,4,0,4,17,0,17,0,0,0,0,0,0,2,0,2,-2,0,-2,0,0,0,1,0,1,2,0,2,0.33,0,0.33,2.25,4,1.67,0.5,2,0,1.75,2,1.67,0.67,0,0.67,0,0,0,0.67,0,0.67,4,2,2,1,0,0,1,1,1,1,0,0,3,1,1,0,0,0,0,2,2,3,4,4,0,0,0,0,1,1,0,2,2,3,3,3,100,50,50,25,0,0,100,100,100,100,0,0,100,33,33,0,0,0,0,50,50,75,100,100,0,0,0,0,100,100,0,67,67,100,100,100,2,0,0,0,0,0,2,0,0,67,0,0,0,0,0,67,0,0,0,0,0,143,0,0,0,25,100,0,75,0,100,0,0,0,1,0,1,33,0,33,3,0,3,100,0,100,0,0,0,0,0,0,0,0,0,33,0,33,67,0,67,3.00,0.00,3.00,0,0,0.00,33,0,0,0,0,0,0,0,0.46,0.00,0.79,0.88,0.00,1.21,100,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,25,100,0,75,0,100,0
