team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Finland National Team,Finland,2024/2025,Finland,6,3,3,0,0,0,0,0,0,0,6,3,3,0,0,0,4,0,0,54,2,13,-11,15,9,6,2,0,7,6,-5,-6,273,134,0,41,39,45,0,0,0,2,2,0,4,1,3,1,1,0,19,10,9,6,3,3,43,43,44,32,18,14,12,6,6,20,12,8,52,27,25,1,1,0,4,1,3,-3,0,-3,1,1,0,2,1,1,3,1,2,0.83,1.33,0.33,2.5,3,2,0.33,0.67,0,2.17,2.33,2,0.83,0.67,1,0.17,0.33,0,0.67,0.33,1,6,5,3,1,0,0,3,3,2,1,0,0,3,2,1,0,0,0,0,1,3,5,6,6,0,0,1,2,3,3,0,1,2,3,3,3,100,83,50,17,0,0,100,100,67,33,0,0,100,67,33,0,0,0,0,17,50,83,100,100,0,0,33,67,100,100,0,33,67,100,100,100,4,1,0,2,0,0,2,1,0,67,17,0,67,0,0,67,33,0,0,0,0,48,0,0,0,33,67,0,67,33,100,17,33,0,3,2,1,50,67,33,5,2,3,83,67,100,0,0,0,0,0,0,17,33,0,33,33,33,50,33,67,3.17,3.33,3.00,1,1,1.00,83,83,67,50,33,17,0,0,0.76,0.82,0.70,1.59,1.64,1.53,50,0,1,0,0,0,0,0,0,1,0,1,1,1,1,4,0,3,2,0,0,0,100,100,100,0
Iceland National Team,Iceland,2024/2025,Iceland,8,4,4,0,2,1,1,1,1,0,5,2,3,0.88,1,0.75,3,0,0,36,12,18,-6,30,16,14,7,5,9,9,-2,-4,60,51,72,40,40,40,2,1,1,6,3,3,0,0,0,5,3,2,30,21,9,23,11,12,44,44,45,71,42,29,34,18,16,37,24,13,95,54,41,6,3,3,8,4,4,-2,-1,-1,2,2,0,3,0,3,3,2,1,1.13,1.5,0.75,3.75,4,3.5,1.5,1.75,1.25,2.25,2.25,2.25,1.75,1.75,1.75,0.75,0.75,0.75,1,1,1,8,8,6,5,2,1,4,4,3,3,1,1,4,4,3,2,1,0,0,0,2,3,6,7,0,0,1,1,3,3,0,0,1,2,3,4,100,100,75,63,25,13,100,100,75,75,25,25,100,100,75,50,25,0,0,0,25,37,75,87,0,0,25,25,75,75,0,0,25,50,75,100,7,5,2,4,2,1,3,3,1,88,63,25,100,50,25,75,75,25,25,25,25,0,25,25,25,75,75,75,0,0,0,63,75,50,3,2,1,38,50,25,2,1,1,25,25,25,4,1,3,50,25,75,25,50,0,38,0,75,38,50,25,3.75,5.25,2.25,2.88,2.75,3.00,75,63,63,38,25,13,0,0,1.10,1.24,0.95,1.67,1.67,1.67,113,3,0,1,2,0,1,1,2,2,1,2,1,2,2,2,3,2,3,13,25,0,63,50,75,0
Gibraltar National Team,Gibraltar,2024/2025,Gibraltar,4,2,2,0,1,1,0,3,1,2,0,0,0,1.5,2,1,2,0,0,39,4,3,1,7,5,2,3,1,2,1,1,0,90,60,180,120,90,180,2,1,1,2,1,1,1,0,1,3,2,1,15,11,4,21,12,9,44,47,41,31,22,9,11,7,4,20,15,5,48,25,23,2,1,1,0,0,0,2,1,1,2,1,1,2,1,1,0,0,0,2,2,2,1.75,2.5,1,1,1.5,0.5,0.75,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,3,2,1,1,0,0,2,1,1,1,0,0,1,1,0,0,0,0,1,2,3,3,4,4,0,1,1,1,2,2,1,1,2,2,2,2,75,50,25,25,0,0,100,50,50,50,0,0,50,50,0,0,0,0,25,50,75,75,100,100,0,50,50,50,100,100,50,50,100,100,100,100,2,0,0,1,0,0,1,0,0,50,0,0,50,0,0,50,0,0,25,50,0,9,50,50,50,50,50,50,25,0,50,75,100,50,4,2,2,100,100,100,2,1,1,50,50,50,0,0,0,0,0,0,50,50,50,50,50,50,0,0,0,3.75,5.50,2.00,5.25,6,4.50,50,25,25,25,25,25,25,0,0.90,1.16,0.64,0.92,0.91,0.94,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2,75,50,100,0,0,0,0
Belarus National Team,Belarus,2024/2025,Belarus,6,3,3,0,1,0,1,4,3,1,1,0,1,1.17,1,1.33,3,0,0,32,3,4,-1,7,2,5,1,2,1,3,0,-1,180,273,134,134,273,90,3,2,1,2,1,1,3,2,1,2,1,1,26,13,13,18,7,11,41,39,43,36,19,17,19,10,9,17,9,8,107,49,58,0,0,0,1,0,1,-1,0,-1,0,0,0,5,3,2,1,0,1,0.83,1,0.67,1.17,0.67,1.67,0.5,0.33,0.67,0.67,0.33,1,0.17,0,0.33,0,0,0,0.17,0,0.33,4,3,0,0,0,0,1,1,0,0,0,0,3,2,0,0,0,0,2,3,6,6,6,6,2,2,3,3,3,3,0,1,3,3,3,3,67,50,0,0,0,0,33,33,0,0,0,0,100,67,0,0,0,0,33,50,100,100,100,100,67,67,100,100,100,100,0,33,100,100,100,100,1,0,0,0,0,0,1,0,0,17,0,0,0,0,0,33,0,0,17,0,33,9,50,67,33,33,33,33,50,67,33,33,33,33,5,3,2,83,100,67,6,3,3,100,100,100,0,0,0,0,0,0,0,0,0,83,100,67,17,0,33,4.33,4.33,4.33,3,2.33,3.67,83,67,50,50,17,0,0,0,0.84,0.86,0.82,1.32,1.60,1.05,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,0,67,100,33,17,0,33,0
Czech Republic National Team,Czech Republic,2024/2025,Czech Republic,6,3,3,0,3,3,0,2,0,2,1,0,1,1.83,3,0.67,1,0,0,25,9,8,1,17,10,7,7,2,3,5,4,-3,60,39,134,68,90,54,2,1,1,4,2,2,1,0,1,4,3,1,29,14,15,21,12,9,50,46,53,63,33,30,30,16,14,33,17,16,84,44,40,6,5,1,2,1,1,4,4,0,4,3,1,1,0,1,1,0,1,2.17,3,1.33,2.83,3.33,2.33,1.5,2.33,0.67,1.33,1,1.67,1.33,2,0.67,1,1.67,0.33,0.33,0.33,0.33,5,5,3,2,2,0,3,3,2,1,1,0,2,2,1,1,1,0,1,1,3,4,4,6,0,0,1,2,2,3,1,1,2,2,2,3,83,83,50,33,33,0,100,100,67,33,33,0,67,67,33,33,33,0,17,17,50,67,67,100,0,0,33,67,67,100,33,33,67,67,67,100,5,2,1,3,2,1,2,0,0,83,33,17,100,67,33,67,0,0,50,100,0,40,33,33,33,67,67,67,17,0,33,67,100,33,4,2,2,67,67,67,2,0,2,33,0,67,1,1,0,17,33,0,67,100,33,17,0,33,17,0,33,4.83,4.67,5.00,3.5,4,3.00,83,67,33,33,33,33,17,17,1.39,1.44,1.35,1.01,1.06,0.96,67,2,1,2,0,1,0,1,2,0,0,0,0,2,0,3,2,0,1,33,0,67,17,0,33,17
Montenegro National Team,Montenegro,2024/2025,Montenegro,6,3,3,0,1,1,0,0,0,0,5,2,3,0.5,1,0,4,0,0,45,4,9,-5,13,9,4,4,0,5,4,-1,-4,134,68,0,60,54,68,0,0,0,2,2,0,4,1,3,1,1,0,32,21,11,22,12,10,43,44,43,56,36,20,21,14,7,35,22,13,81,40,41,2,2,0,5,3,2,-3,-1,-2,1,1,0,2,1,1,3,1,2,0.83,1.33,0.33,2.17,3,1.33,0.67,1.33,0,1.5,1.67,1.33,1.17,1.67,0.67,0.33,0.67,0,0.83,1,0.67,6,4,2,1,0,0,3,3,2,1,0,0,3,1,0,0,0,0,0,2,4,5,6,6,0,0,1,2,3,3,0,2,3,3,3,3,100,67,33,17,0,0,100,100,67,33,0,0,100,33,0,0,0,0,0,33,67,83,100,100,0,0,33,67,100,100,0,67,100,100,100,100,4,2,1,2,2,1,2,0,0,67,33,17,67,67,33,67,0,0,17,33,0,44,0,0,0,33,67,0,67,33,100,17,33,0,2,1,1,33,33,33,5,2,3,83,67,100,1,1,0,17,33,0,17,33,0,33,33,33,50,33,67,5.33,7.00,3.67,3.67,4,3.33,100,83,83,67,67,17,17,17,1.09,1.43,0.74,1.47,1.27,1.67,50,0,0,1,0,1,0,0,2,0,2,0,0,3,0,1,1,1,1,0,0,0,83,67,100,17
Switzerland National Team,Switzerland,2024/2025,Switzerland,6,3,3,0,0,0,0,2,2,0,4,1,3,0.33,0.67,0,4,0,0,49,6,14,-8,20,11,9,4,2,7,7,-3,-5,90,68,134,39,39,39,0,0,0,4,3,1,2,0,2,2,2,0,31,20,11,18,8,10,58,64,51,56,36,20,23,13,10,33,23,10,73,35,38,3,3,0,5,3,2,-2,0,-2,1,1,0,2,1,1,3,1,2,0.83,1.33,0.33,3.33,3.67,3,1,1.33,0.67,2.33,2.33,2.33,1.33,2,0.67,0.5,1,0,0.83,1,0.67,6,6,3,3,2,0,3,3,2,2,1,0,3,3,1,1,1,0,0,0,3,3,4,6,0,0,1,1,2,3,0,0,2,2,2,3,100,100,50,50,33,0,100,100,67,67,33,0,100,100,33,33,33,0,0,0,50,50,67,100,0,0,33,33,67,100,0,0,67,67,67,100,4,2,2,2,2,2,2,0,0,67,33,33,67,67,67,67,0,0,0,0,0,0,0,0,0,67,100,33,33,0,67,33,67,0,2,1,1,33,33,33,4,1,3,67,33,100,2,2,0,33,67,0,17,33,0,33,33,33,50,33,67,5.17,6.67,3.67,3,2.67,3.33,100,83,67,67,17,17,0,0,1.22,1.54,0.90,1.30,1.01,1.58,83,0,0,1,0,2,0,1,1,1,1,1,1,1,1,0,3,2,4,33,67,0,67,33,100,0
Serbia National Team,Serbia,2024/2025,Serbia,8,4,4,0,2,2,0,4,2,2,2,0,2,1.25,2,0.5,3,0,0,26,6,7,-1,13,4,9,4,2,0,7,4,-5,120,90,180,102,0,51,4,4,0,2,0,2,4,2,2,2,2,0,24,14,10,24,13,11,36,36,36,69,47,22,21,15,6,48,32,16,94,45,49,1,1,0,3,0,3,-2,1,-3,1,1,0,4,3,1,3,0,3,0.88,1.5,0.25,1.63,1,2.25,0.75,1,0.5,0.88,0,1.75,0.5,0.25,0.75,0.13,0.25,0,0.38,0,0.75,6,6,1,0,0,0,2,2,0,0,0,0,4,4,1,0,0,0,2,2,7,8,8,8,2,2,4,4,4,4,0,0,3,4,4,4,75,75,13,0,0,0,50,50,0,0,0,0,100,100,25,0,0,0,25,25,87,100,100,100,50,50,100,100,100,100,0,0,75,100,100,100,4,0,0,1,0,0,3,0,0,50,0,0,25,0,0,75,0,0,25,50,0,67,50,100,0,25,0,50,50,50,50,25,50,0,5,4,1,63,100,25,7,3,4,88,75,100,0,0,0,0,0,0,13,25,0,50,75,25,38,0,75,3.00,3.50,2.50,3,3.25,2.75,75,75,50,50,25,0,0,0,0.94,1.24,0.64,1.68,1.48,1.87,13,0,0,0,0,1,1,2,0,2,1,0,0,2,0,0,2,2,0,50,50,50,25,0,50,0
Andorra National Team,Andorra,2024/2025,Andorra,4,2,2,0,0,0,0,1,0,1,3,2,1,0.25,0,0.5,3,0,0,51,0,4,-4,4,2,2,0,0,2,2,-2,-2,0,0,0,90,90,90,1,0,1,0,0,0,4,2,2,0,0,0,13,4,9,15,6,9,42,41,44,24,12,12,10,7,3,14,5,9,83,35,48,0,0,0,2,1,1,-2,-1,-1,0,0,0,2,1,1,2,1,1,0.5,0.5,0.5,1,1,1,0,0,0,1,1,1,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,3,1,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,3,4,4,4,4,0,2,2,2,2,2,1,1,2,2,2,2,75,25,0,0,0,0,100,0,0,0,0,0,50,50,0,0,0,0,25,75,100,100,100,100,0,100,100,100,100,100,50,50,100,100,100,100,2,0,0,1,0,0,1,0,0,50,0,0,50,0,0,50,0,0,0,0,0,0,25,0,50,0,0,0,100,100,100,0,0,0,2,1,1,50,50,50,4,2,2,100,100,100,0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,3.25,2.00,4.50,3.75,3,4.50,50,0,0,0,0,0,0,0,0.83,0.86,0.80,1.07,1.32,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,25,0,50,75,100,50,0
Austria National Team,Austria,2024/2025,Austria,8,4,4,0,3,2,1,3,2,1,2,0,2,1.5,2,1,2,0,0,16,15,8,7,23,14,9,11,4,3,5,8,-1,48,33,90,90,120,72,2,1,1,5,3,2,1,0,1,5,4,1,38,23,15,12,3,9,65,67,62,126,78,48,47,26,21,79,52,27,82,40,42,8,4,4,3,1,2,5,3,2,4,3,1,4,1,3,0,0,0,2,2.5,1.5,2.88,3.5,2.25,1.88,2.75,1,1,0.75,1.25,1.38,1.25,1.5,1,1,1,0.38,0.25,0.5,8,8,3,2,1,1,4,4,2,2,1,1,4,4,1,0,0,0,0,0,5,6,7,7,0,0,2,2,3,3,0,0,3,4,4,4,100,100,38,25,13,13,100,100,50,50,25,25,100,100,25,0,0,0,0,0,62,75,87,87,0,0,50,50,75,75,0,0,75,100,100,100,7,4,0,4,1,0,3,3,0,88,50,0,100,25,0,75,75,0,38,50,25,36,25,25,25,63,75,50,13,0,25,63,100,25,5,3,2,63,75,50,1,0,1,13,0,25,3,1,2,38,25,50,50,75,25,50,25,75,0,0,0,4.75,5.75,3.75,1.5,0.75,2.25,25,25,25,25,25,13,13,13,1.91,2.22,1.60,0.80,0.75,0.86,88,2,1,3,2,1,3,1,2,0,1,1,0,1,0,1,1,1,2,38,50,25,25,0,50,13
