rank,team,group,elo,elo_normalized,form_score,adjusted_strength,total_matches,shot_conversion,defensive_save_rate,xg_overperformance,goal_difference
1,Argentina,J,1873,99.2,90.2,96.5,34.0,16.42,92.55,0.42,1.74
2,Spain,H,1877,100.0,85.9,95.8,35.0,14.97,88.48,0.5,1.49
3,France,I,1870,98.6,72.1,90.6,34.0,10.2,85.92,-0.19,0.65
4,England,L,1834,91.7,82.5,88.9,35.0,13.57,88.51,0.23,1.03
5,Netherlands,F,1756,76.6,85.2,79.2,34.0,18.39,88.09,0.87,1.41
6,Portugal,K,1760,77.4,82.5,78.9,32.0,14.35,89.25,0.34,1.22
7,Brazil,C,1760,77.4,77.4,77.4,33.0,14.71,87.02,0.27,0.55
8,Morocco,C,1736,72.7,84.5,76.2,32.0,11.96,93.67,0.02,1.35
9,Belgium,G,1730,71.6,79.1,73.8,32.0,13.24,87.74,0.19,0.94
10,Germany,E,1724,70.4,80.8,73.5,42.0,14.78,87.22,0.32,0.78
11,Croatia,L,1716,68.9,79.8,72.2,31.0,13.99,91.15,0.2,0.94
12,Senegal,I,1706,66.9,84.2,72.1,34.0,19.65,93.21,0.55,1.47
13,Colombia,K,1701,66.0,82.2,70.9,38.0,17.26,91.06,0.47,1.13
14,Japan,F,1650,56.1,100.0,69.3,32.0,30.36,92.11,1.68,2.6
15,Italy,B,1702,66.2,74.1,68.6,32.0,13.22,88.2,0.3,0.5
16,Uruguay,H,1672,60.3,76.4,65.1,35.0,14.89,91.05,0.29,0.63
17,Switzerland,B,1654,56.9,76.4,62.8,31.0,16.75,88.04,0.38,0.58
18,USA,D,1681,62.1,63.3,62.5,3.0,8.83,87.8,-0.36,0.0
19,Mexico,A,1675,60.9,64.6,62.0,25.0,11.55,80.57,0.08,-0.08
20,Iran,G,1617,49.7,85.2,60.4,28.0,27.86,92.89,0.62,1.5
21,South Korea,A,1599,46.2,90.6,59.5,31.0,23.95,91.28,0.7,1.42
22,Denmark,A,1616,49.5,76.1,57.5,30.0,12.59,90.1,0.19,0.73
23,Austria,J,1585,43.5,81.1,54.8,32.0,15.85,89.69,0.45,1.0
24,Australia,D,1574,41.4,82.2,53.6,28.0,27.0,92.95,0.89,1.07
25,Ecuador,E,1591,44.7,74.1,53.5,35.0,10.25,93.18,-0.22,0.46
26,Turkey,D,1582,42.9,75.4,52.6,28.0,14.88,84.47,0.53,0.65
27,Algeria,J,1560,38.7,84.5,52.4,30.0,22.14,89.19,0.79,1.24
28,Norway,I,1553,37.3,85.2,51.7,28.0,18.16,88.94,0.9,1.6
29,Egypt,G,1556,37.9,76.8,49.6,34.0,16.4,90.0,0.3,0.77
30,Ukraine,F,1557,38.1,71.0,48.0,29.0,13.79,87.71,0.35,0.1
31,Canada,B,1559,38.5,64.6,46.3,19.0,9.66,89.44,-0.22,-0.06
32,Panama,L,1539,34.6,72.1,45.8,22.0,13.25,88.58,0.22,0.05
33,Scotland,C,1533,33.5,70.0,44.4,31.0,13.11,87.54,0.15,-0.07
34,South Africa,A,1512,29.4,78.8,44.2,32.0,12.68,91.79,0.01,0.69
35,Paraguay,D,1528,32.5,63.0,41.6,30.0,9.25,89.49,-0.12,-0.13
36,Saudi Arabia,H,1500,27.1,75.1,41.5,33.0,18.91,88.1,0.05,0.24
37,Tunisia,F,1498,26.7,75.4,41.3,32.0,15.82,91.65,0.13,0.53
38,Uzbekistan,K,1489,25.0,76.1,40.3,29.0,20.41,92.62,0.14,0.83
39,Haiti,C,1470,21.3,79.8,38.8,11.0,14.28,90.17,0.46,0.91
40,Ghana,L,1460,19.3,75.8,36.2,22.0,17.39,87.45,0.45,0.55
41,Iraq,I,1450,17.4,74.7,34.6,25.0,22.38,92.83,0.31,0.52
42,Qatar,B,1434,14.3,76.8,33.0,31.0,18.02,86.83,0.59,0.0
43,New Zealand,G,1440,15.5,72.7,32.7,28.0,17.52,89.74,0.28,0.46
44,Jordan,J,1427,13.0,68.4,29.6,37.0,24.19,87.02,0.37,0.22
45,Cote d'Ivoire,E,1467,20.7,50.0,29.5,0.0,,,,
46,DR Congo,K,1450,17.4,50.0,27.2,0.0,,,,
47,Curacao,E,1382,4.3,50.0,18.0,0.0,,,,
48,Cabo Verde,H,1360,0.0,50.0,15.0,0.0,,,,
